Service,Port,Protocol,Description
unknown,45150,unknown,Unassigned
unknown,45151,unknown,Unassigned
unknown,45152,unknown,Unassigned
unknown,45153,unknown,Unassigned
unknown,45154,unknown,Unassigned
unknown,45155,unknown,Unassigned
unknown,45156,unknown,Unassigned
unknown,45157,unknown,Unassigned
unknown,45158,unknown,Unassigned
unknown,45159,unknown,Unassigned
unknown,45160,unknown,Unassigned
unknown,45161,unknown,Unassigned
unknown,45162,unknown,Unassigned
unknown,45163,unknown,Unassigned
unknown,45164,unknown,Unassigned
unknown,45165,unknown,Unassigned
unknown,45166,unknown,Unassigned
unknown,45167,unknown,Unassigned
unknown,45168,unknown,Unassigned
unknown,45169,unknown,Unassigned
unknown,45170,unknown,Unassigned
unknown,45171,unknown,Unassigned
unknown,45172,unknown,Unassigned
unknown,45173,unknown,Unassigned
unknown,45174,unknown,Unassigned
unknown,45175,unknown,Unassigned
unknown,45176,unknown,Unassigned
unknown,45177,unknown,Unassigned
unknown,45178,unknown,Unassigned
unknown,45179,unknown,Unassigned
unknown,45180,unknown,Unassigned
unknown,45181,unknown,Unassigned
unknown,45182,unknown,Unassigned
unknown,45183,unknown,Unassigned
unknown,45184,unknown,Unassigned
unknown,45185,unknown,Unassigned
unknown,45186,unknown,Unassigned
unknown,45187,unknown,Unassigned
unknown,45188,unknown,Unassigned
unknown,45189,unknown,Unassigned
unknown,45190,unknown,Unassigned
unknown,45191,unknown,Unassigned
unknown,45192,unknown,Unassigned
unknown,45193,unknown,Unassigned
unknown,45194,unknown,Unassigned
unknown,45195,unknown,Unassigned
unknown,45196,unknown,Unassigned
unknown,45197,unknown,Unassigned
unknown,45198,unknown,Unassigned
unknown,45199,unknown,Unassigned
unknown,45200,unknown,Unassigned
unknown,45201,unknown,Unassigned
unknown,45202,unknown,Unassigned
unknown,45203,unknown,Unassigned
unknown,45204,unknown,Unassigned
unknown,45205,unknown,Unassigned
unknown,45206,unknown,Unassigned
unknown,45207,unknown,Unassigned
unknown,45208,unknown,Unassigned
unknown,45209,unknown,Unassigned
unknown,45210,unknown,Unassigned
unknown,45211,unknown,Unassigned
unknown,45212,unknown,Unassigned
unknown,45213,unknown,Unassigned
unknown,45214,unknown,Unassigned
unknown,45215,unknown,Unassigned
unknown,45216,unknown,Unassigned
unknown,45217,unknown,Unassigned
unknown,45218,unknown,Unassigned
unknown,45219,unknown,Unassigned
unknown,45220,unknown,Unassigned
unknown,45221,unknown,Unassigned
unknown,45222,unknown,Unassigned
unknown,45223,unknown,Unassigned
unknown,45224,unknown,Unassigned
unknown,45225,unknown,Unassigned
unknown,45226,unknown,Unassigned
unknown,45227,unknown,Unassigned
unknown,45228,unknown,Unassigned
unknown,45229,unknown,Unassigned
unknown,45230,unknown,Unassigned
unknown,45231,unknown,Unassigned
unknown,45232,unknown,Unassigned
unknown,45233,unknown,Unassigned
unknown,45234,unknown,Unassigned
unknown,45235,unknown,Unassigned
unknown,45236,unknown,Unassigned
unknown,45237,unknown,Unassigned
unknown,45238,unknown,Unassigned
unknown,45239,unknown,Unassigned
unknown,45240,unknown,Unassigned
unknown,45241,unknown,Unassigned
unknown,45242,unknown,Unassigned
unknown,45243,unknown,Unassigned
unknown,45244,unknown,Unassigned
unknown,45245,unknown,Unassigned
unknown,45246,unknown,Unassigned
unknown,45247,unknown,Unassigned
unknown,45248,unknown,Unassigned
unknown,45249,unknown,Unassigned
unknown,45250,unknown,Unassigned
unknown,45251,unknown,Unassigned
unknown,45252,unknown,Unassigned
unknown,45253,unknown,Unassigned
unknown,45254,unknown,Unassigned
unknown,45255,unknown,Unassigned
unknown,45256,unknown,Unassigned
unknown,45257,unknown,Unassigned
unknown,45258,unknown,Unassigned
unknown,45259,unknown,Unassigned
unknown,45260,unknown,Unassigned
unknown,45261,unknown,Unassigned
unknown,45262,unknown,Unassigned
unknown,45263,unknown,Unassigned
unknown,45264,unknown,Unassigned
unknown,45265,unknown,Unassigned
unknown,45266,unknown,Unassigned
unknown,45267,unknown,Unassigned
unknown,45268,unknown,Unassigned
unknown,45269,unknown,Unassigned
unknown,45270,unknown,Unassigned
unknown,45271,unknown,Unassigned
unknown,45272,unknown,Unassigned
unknown,45273,unknown,Unassigned
unknown,45274,unknown,Unassigned
unknown,45275,unknown,Unassigned
unknown,45276,unknown,Unassigned
unknown,45277,unknown,Unassigned
unknown,45278,unknown,Unassigned
unknown,45279,unknown,Unassigned
unknown,45280,unknown,Unassigned
unknown,45281,unknown,Unassigned
unknown,45282,unknown,Unassigned
unknown,45283,unknown,Unassigned
unknown,45284,unknown,Unassigned
unknown,45285,unknown,Unassigned
unknown,45286,unknown,Unassigned
unknown,45287,unknown,Unassigned
unknown,45288,unknown,Unassigned
unknown,45289,unknown,Unassigned
unknown,45290,unknown,Unassigned
unknown,45291,unknown,Unassigned
unknown,45292,unknown,Unassigned
unknown,45293,unknown,Unassigned
unknown,45294,unknown,Unassigned
unknown,45295,unknown,Unassigned
unknown,45296,unknown,Unassigned
unknown,45297,unknown,Unassigned
unknown,45298,unknown,Unassigned
unknown,45299,unknown,Unassigned
unknown,45300,unknown,Unassigned
unknown,45301,unknown,Unassigned
unknown,45302,unknown,Unassigned
unknown,45303,unknown,Unassigned
unknown,45304,unknown,Unassigned
unknown,45305,unknown,Unassigned
unknown,45306,unknown,Unassigned
unknown,45307,unknown,Unassigned
unknown,45308,unknown,Unassigned
unknown,45309,unknown,Unassigned
unknown,45310,unknown,Unassigned
unknown,45311,unknown,Unassigned
unknown,45312,unknown,Unassigned
unknown,45313,unknown,Unassigned
unknown,45314,unknown,Unassigned
unknown,45315,unknown,Unassigned
unknown,45316,unknown,Unassigned
unknown,45317,unknown,Unassigned
unknown,45318,unknown,Unassigned
unknown,45319,unknown,Unassigned
unknown,45320,unknown,Unassigned
unknown,45321,unknown,Unassigned
unknown,45322,unknown,Unassigned
unknown,45323,unknown,Unassigned
unknown,45324,unknown,Unassigned
unknown,45325,unknown,Unassigned
unknown,45326,unknown,Unassigned
unknown,45327,unknown,Unassigned
unknown,45328,unknown,Unassigned
unknown,45329,unknown,Unassigned
unknown,45330,unknown,Unassigned
unknown,45331,unknown,Unassigned
unknown,45332,unknown,Unassigned
unknown,45333,unknown,Unassigned
unknown,45334,unknown,Unassigned
unknown,45335,unknown,Unassigned
unknown,45336,unknown,Unassigned
unknown,45337,unknown,Unassigned
unknown,45338,unknown,Unassigned
unknown,45339,unknown,Unassigned
unknown,45340,unknown,Unassigned
unknown,45341,unknown,Unassigned
unknown,45342,unknown,Unassigned
unknown,45343,unknown,Unassigned
unknown,45344,unknown,Unassigned
unknown,45345,unknown,Unassigned
unknown,45346,unknown,Unassigned
unknown,45347,unknown,Unassigned
unknown,45348,unknown,Unassigned
unknown,45349,unknown,Unassigned
unknown,45350,unknown,Unassigned
unknown,45351,unknown,Unassigned
unknown,45352,unknown,Unassigned
unknown,45353,unknown,Unassigned
unknown,45354,unknown,Unassigned
unknown,45355,unknown,Unassigned
unknown,45356,unknown,Unassigned
unknown,45357,unknown,Unassigned
unknown,45358,unknown,Unassigned
unknown,45359,unknown,Unassigned
unknown,45360,unknown,Unassigned
unknown,45361,unknown,Unassigned
unknown,45362,unknown,Unassigned
unknown,45363,unknown,Unassigned
unknown,45364,unknown,Unassigned
unknown,45365,unknown,Unassigned
unknown,45366,unknown,Unassigned
unknown,45367,unknown,Unassigned
unknown,45368,unknown,Unassigned
unknown,45369,unknown,Unassigned
unknown,45370,unknown,Unassigned
unknown,45371,unknown,Unassigned
unknown,45372,unknown,Unassigned
unknown,45373,unknown,Unassigned
unknown,45374,unknown,Unassigned
unknown,45375,unknown,Unassigned
unknown,45376,unknown,Unassigned
unknown,45377,unknown,Unassigned
unknown,45378,unknown,Unassigned
unknown,45379,unknown,Unassigned
unknown,45380,unknown,Unassigned
unknown,45381,unknown,Unassigned
unknown,45382,unknown,Unassigned
unknown,45383,unknown,Unassigned
unknown,45384,unknown,Unassigned
unknown,45385,unknown,Unassigned
unknown,45386,unknown,Unassigned
unknown,45387,unknown,Unassigned
unknown,45388,unknown,Unassigned
unknown,45389,unknown,Unassigned
unknown,45390,unknown,Unassigned
unknown,45391,unknown,Unassigned
unknown,45392,unknown,Unassigned
unknown,45393,unknown,Unassigned
unknown,45394,unknown,Unassigned
unknown,45395,unknown,Unassigned
unknown,45396,unknown,Unassigned
unknown,45397,unknown,Unassigned
unknown,45398,unknown,Unassigned
unknown,45399,unknown,Unassigned
unknown,45400,unknown,Unassigned
unknown,45401,unknown,Unassigned
unknown,45402,unknown,Unassigned
unknown,45403,unknown,Unassigned
unknown,45404,unknown,Unassigned
unknown,45405,unknown,Unassigned
unknown,45406,unknown,Unassigned
